f1,match_rate,recall,precision,!f1,filter_rate,!recall,fpr,threshold,!precision,accuracy
0.985,1.0,1.0,0.971,0.014,0.0,0.007,0.993,0.01388,1.0,0.971
0.985,1.0,1.0,0.971,0.014,0.0,0.007,0.993,0.01395,1.0,0.971
0.985,1.0,1.0,0.971,0.014,0.0,0.007,0.993,0.01397,1.0,0.971
0.985,1.0,1.0,0.971,0.014,0.0,0.007,0.993,0.01398,1.0,0.971
0.985,1.0,1.0,0.971,0.014,0.0,0.007,0.993,0.01399,1.0,0.971
0.985,1.0,1.0,0.971,0.015,0.0,0.007,0.993,0.01404,1.0,0.971
0.985,1.0,1.0,0.971,0.015,0.0,0.007,0.993,0.01406,1.0,0.971
0.985,1.0,1.0,0.971,0.015,0.0,0.007,0.993,0.01409,1.0,0.971
0.985,1.0,1.0,0.971,0.015,0.0,0.007,0.993,0.0141,1.0,0.971
0.985,1.0,1.0,0.971,0.015,0.0,0.008,0.992,0.01412,1.0,0.971
0.985,1.0,1.0,0.971,0.015,0.0,0.008,0.992,0.01414,1.0,0.971
0.985,1.0,1.0,0.971,0.015,0.0,0.008,0.992,0.01416,1.0,0.971
0.985,1.0,1.0,0.971,0.015,0.0,0.008,0.992,0.01417,1.0,0.971
0.985,1.0,1.0,0.971,0.015,0.0,0.008,0.992,0.01418,1.0,0.971
0.985,1.0,1.0,0.971,0.015,0.0,0.008,0.992,0.01422,1.0,0.971
0.985,1.0,1.0,0.971,0.016,0.0,0.008,0.992,0.01423,1.0,0.971
0.985,1.0,1.0,0.971,0.016,0.0,0.008,0.992,0.01424,1.0,0.971
0.985,1.0,1.0,0.971,0.016,0.0,0.008,0.992,0.01426,1.0,0.971
0.985,1.0,1.0,0.971,0.016,0.0,0.008,0.992,0.01429,1.0,0.971
0.985,1.0,1.0,0.971,0.016,0.0,0.008,0.992,0.01431,1.0,0.971
0.985,1.0,1.0,0.971,0.016,0.0,0.008,0.992,0.01433,1.0,0.971
0.985,1.0,1.0,0.971,0.016,0.0,0.008,0.992,0.01436,1.0,0.971
0.985,1.0,1.0,0.971,0.016,0.0,0.008,0.992,0.01437,1.0,0.971
0.985,1.0,1.0,0.971,0.016,0.0,0.008,0.992,0.0144,1.0,0.971
0.985,1.0,1.0,0.971,0.017,0.0,0.008,0.992,0.01441,1.0,0.971
0.985,1.0,1.0,0.971,0.017,0.0,0.008,0.992,0.01442,1.0,0.971
0.985,1.0,1.0,0.971,0.017,0.0,0.008,0.992,0.01447,1.0,0.971
0.985,1.0,1.0,0.971,0.017,0.0,0.009,0.991,0.01452,1.0,0.971
0.985,1.0,1.0,0.971,0.017,0.0,0.009,0.991,0.01453,1.0,0.971
0.985,1.0,1.0,0.971,0.017,0.0,0.009,0.991,0.01455,1.0,0.971
0.985,1.0,1.0,0.971,0.017,0.0,0.009,0.991,0.01456,1.0,0.971
0.985,1.0,1.0,0.971,0.017,0.0,0.009,0.991,0.01465,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01467,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01476,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01482,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01486,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.0149,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01492,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01495,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01501,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01503,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01504,1.0,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01505,0.98,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01506,0.98,0.971
0.985,1.0,1.0,0.971,0.018,0.0,0.009,0.991,0.01509,0.98,0.971
0.985,1.0,1.0,0.971,0.019,0.0,0.009,0.991,0.01511,0.98,0.971
0.985,1.0,1.0,0.971,0.019,0.0,0.009,0.991,0.01517,0.98,0.971
0.985,1.0,1.0,0.971,0.019,0.0,0.01,0.99,0.01518,0.98,0.971
0.985,1.0,1.0,0.971,0.019,0.0,0.01,0.99,0.01519,0.98,0.971
0.985,1.0,1.0,0.971,0.019,0.0,0.01,0.99,0.01523,0.981,0.971
0.985,1.0,1.0,0.971,0.019,0.0,0.01,0.99,0.01526,0.981,0.971
0.985,1.0,1.0,0.971,0.019,0.0,0.01,0.99,0.01527,0.981,0.971
0.985,1.0,1.0,0.971,0.019,0.0,0.01,0.99,0.01528,0.981,0.971
0.985,1.0,1.0,0.971,0.019,0.0,0.01,0.99,0.0153,0.981,0.971
0.985,1.0,1.0,0.971,0.02,0.0,0.01,0.99,0.01531,0.981,0.971
0.985,1.0,1.0,0.971,0.02,0.0,0.01,0.99,0.01532,0.981,0.971
0.985,1.0,1.0,0.971,0.02,0.0,0.01,0.99,0.01533,0.981,0.971
0.985,1.0,1.0,0.971,0.02,0.0,0.01,0.99,0.01535,0.981,0.971
0.985,1.0,1.0,0.971,0.02,0.0,0.01,0.99,0.01536,0.981,0.971
0.985,1.0,1.0,0.971,0.02,0.0,0.01,0.99,0.01537,0.981,0.971
0.985,1.0,1.0,0.971,0.02,0.0,0.01,0.99,0.01538,0.981,0.971
0.985,1.0,1.0,0.971,0.02,0.0,0.01,0.99,0.0154,0.982,0.971
0.985,1.0,1.0,0.971,0.021,0.0,0.01,0.99,0.01544,0.982,0.971
0.985,1.0,1.0,0.971,0.021,0.0,0.01,0.99,0.01547,0.982,0.971
0.985,1.0,1.0,0.971,0.021,0.0,0.011,0.989,0.01548,0.982,0.971
0.985,1.0,1.0,0.971,0.021,0.0,0.011,0.989,0.01551,0.982,0.971
0.985,1.0,1.0,0.971,0.021,0.0,0.011,0.989,0.01553,0.982,0.971
0.985,1.0,1.0,0.971,0.021,0.0,0.011,0.989,0.01554,0.982,0.971
0.985,1.0,1.0,0.971,0.021,0.0,0.011,0.989,0.01556,0.982,0.971
0.985,1.0,1.0,0.971,0.021,0.0,0.011,0.989,0.01559,0.983,0.971
0.985,1.0,1.0,0.971,0.021,0.0,0.011,0.989,0.01561,0.983,0.971
0.985,1.0,1.0,0.971,0.022,0.0,0.011,0.989,0.01563,0.983,0.971
0.985,1.0,1.0,0.971,0.022,0.0,0.011,0.989,0.01564,0.983,0.971
0.985,1.0,1.0,0.971,0.022,0.0,0.011,0.989,0.01565,0.983,0.971
0.985,1.0,1.0,0.971,0.022,0.0,0.011,0.989,0.01566,0.983,0.971
0.985,1.0,1.0,0.971,0.022,0.0,0.011,0.989,0.01568,0.983,0.971
0.985,1.0,1.0,0.971,0.022,0.0,0.011,0.989,0.0157,0.983,0.971
0.985,1.0,1.0,0.971,0.022,0.0,0.011,0.989,0.01571,0.983,0.971
0.985,1.0,1.0,0.971,0.023,0.0,0.011,0.989,0.01572,0.983,0.971
0.985,1.0,1.0,0.971,0.023,0.0,0.011,0.989,0.01574,0.984,0.971
0.985,1.0,1.0,0.971,0.023,0.0,0.012,0.988,0.01575,0.984,0.971
0.985,1.0,1.0,0.971,0.023,0.0,0.012,0.988,0.01577,0.968,0.971
0.985,1.0,1.0,0.971,0.023,0.0,0.012,0.988,0.01578,0.968,0.971
0.985,1.0,1.0,0.971,0.023,0.0,0.012,0.988,0.0158,0.968,0.971
0.985,1.0,1.0,0.971,0.023,0.0,0.012,0.988,0.01581,0.969,0.971
0.985,1.0,1.0,0.971,0.023,0.0,0.012,0.988,0.01582,0.969,0.971
0.985,1.0,1.0,0.971,0.024,0.0,0.012,0.988,0.01583,0.969,0.971
0.985,1.0,1.0,0.971,0.024,0.0,0.012,0.988,0.01585,0.969,0.971
0.985,1.0,1.0,0.971,0.024,0.0,0.012,0.988,0.01586,0.969,0.971
0.985,1.0,1.0,0.971,0.024,0.0,0.012,0.988,0.01587,0.969,0.971
0.985,1.0,1.0,0.971,0.024,0.0,0.012,0.988,0.01588,0.969,0.971
0.985,1.0,1.0,0.971,0.024,0.0,0.012,0.988,0.0159,0.969,0.971
0.985,1.0,1.0,0.971,0.024,0.0,0.012,0.988,0.01591,0.97,0.971
0.985,1.0,1.0,0.971,0.024,0.0,0.012,0.988,0.01592,0.97,0.971
0.985,1.0,1.0,0.971,0.024,0.0,0.012,0.988,0.01594,0.97,0.971
0.985,1.0,1.0,0.971,0.025,0.0,0.012,0.988,0.01595,0.97,0.971
0.985,1.0,1.0,0.971,0.025,0.0,0.012,0.988,0.01598,0.97,0.971
0.985,1.0,1.0,0.971,0.025,0.0,0.013,0.987,0.016,0.97,0.971
0.985,1.0,1.0,0.971,0.025,0.0,0.013,0.987,0.01601,0.97,0.971
0.985,1.0,1.0,0.971,0.025,0.0,0.013,0.987,0.01604,0.971,0.971
0.985,1.0,1.0,0.971,0.025,0.0,0.013,0.987,0.01605,0.971,0.971
0.985,1.0,1.0,0.971,0.025,0.0,0.013,0.987,0.01606,0.971,0.971
0.985,1.0,1.0,0.971,0.025,0.0,0.013,0.987,0.01607,0.971,0.971
0.985,1.0,1.0,0.971,0.026,0.0,0.013,0.987,0.01611,0.971,0.971
0.985,1.0,1.0,0.971,0.026,0.0,0.013,0.987,0.01613,0.971,0.971
0.986,1.0,1.0,0.971,0.026,0.0,0.013,0.987,0.01615,0.971,0.971
0.986,1.0,1.0,0.971,0.026,0.0,0.013,0.987,0.01617,0.972,0.971
0.986,1.0,1.0,0.971,0.026,0.0,0.013,0.987,0.01619,0.972,0.971
0.986,1.0,1.0,0.971,0.026,0.0,0.013,0.987,0.01621,0.972,0.971
0.986,1.0,1.0,0.971,0.027,0.0,0.013,0.987,0.01622,0.972,0.971
0.986,1.0,1.0,0.971,0.027,0.0,0.013,0.987,0.01623,0.972,0.971
0.986,1.0,1.0,0.971,0.027,0.0,0.014,0.986,0.01625,0.972,0.971
0.986,1.0,1.0,0.971,0.027,0.0,0.014,0.986,0.01634,0.973,0.971
0.986,1.0,1.0,0.971,0.027,0.0,0.014,0.986,0.01635,0.973,0.971
0.986,1.0,1.0,0.971,0.027,0.0,0.014,0.986,0.01636,0.973,0.971
0.986,1.0,1.0,0.971,0.027,0.0,0.014,0.986,0.01637,0.973,0.971
0.986,1.0,1.0,0.971,0.028,0.0,0.014,0.986,0.01638,0.973,0.971
0.986,1.0,1.0,0.971,0.028,0.0,0.014,0.986,0.01639,0.973,0.971
0.986,1.0,1.0,0.971,0.028,0.0,0.014,0.986,0.0164,0.974,0.971
0.986,1.0,1.0,0.971,0.028,0.0,0.014,0.986,0.01641,0.974,0.971
0.986,1.0,1.0,0.971,0.028,0.0,0.014,0.986,0.01643,0.974,0.971
0.986,1.0,1.0,0.971,0.028,0.0,0.014,0.986,0.01644,0.974,0.971
0.986,1.0,1.0,0.971,0.029,0.0,0.014,0.986,0.01645,0.974,0.971
0.986,1.0,1.0,0.971,0.029,0.0,0.015,0.985,0.01646,0.974,0.971
0.986,1.0,1.0,0.971,0.029,0.0,0.015,0.985,0.01647,0.974,0.971
0.986,1.0,1.0,0.971,0.029,0.0,0.015,0.985,0.01649,0.975,0.971
0.986,1.0,1.0,0.971,0.029,0.0,0.015,0.985,0.0165,0.975,0.971
0.986,1.0,1.0,0.971,0.029,0.0,0.015,0.985,0.01654,0.975,0.971
0.986,1.0,1.0,0.971,0.029,0.0,0.015,0.985,0.01655,0.975,0.971
0.986,1.0,1.0,0.971,0.03,0.0,0.015,0.985,0.01657,0.975,0.971
0.986,1.0,1.0,0.971,0.03,0.0,0.015,0.985,0.01658,0.975,0.971
0.986,1.0,1.0,0.971,0.03,0.0,0.015,0.985,0.01659,0.975,0.971
0.986,1.0,1.0,0.971,0.03,0.0,0.015,0.985,0.01661,0.975,0.971
0.986,1.0,1.0,0.971,0.03,0.0,0.015,0.985,0.01662,0.975,0.971
0.986,1.0,1.0,0.971,0.03,0.0,0.015,0.985,0.01663,0.976,0.971
0.986,1.0,1.0,0.971,0.03,0.0,0.015,0.985,0.01664,0.976,0.971
0.986,1.0,1.0,0.971,0.03,0.0,0.015,0.985,0.01668,0.976,0.971
0.986,1.0,1.0,0.971,0.031,0.0,0.015,0.985,0.0167,0.976,0.971
0.986,1.0,1.0,0.971,0.031,0.0,0.016,0.984,0.01671,0.976,0.971
0.986,1.0,1.0,0.971,0.031,0.0,0.016,0.984,0.01672,0.976,0.971
0.986,1.0,1.0,0.972,0.031,0.0,0.016,0.984,0.01673,0.976,0.972
0.986,1.0,1.0,0.972,0.031,0.0,0.016,0.984,0.01674,0.976,0.972
0.986,1.0,1.0,0.972,0.031,0.0,0.016,0.984,0.01675,0.976,0.972
0.986,1.0,1.0,0.972,0.031,0.0,0.016,0.984,0.01676,0.976,0.972
0.986,1.0,1.0,0.972,0.031,0.0,0.016,0.984,0.01677,0.977,0.972
0.986,1.0,1.0,0.972,0.031,0.0,0.016,0.984,0.0168,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01682,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01683,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01684,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01687,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01691,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01692,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01694,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01695,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01696,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01697,0.977,0.972
0.986,1.0,1.0,0.972,0.032,0.0,0.016,0.984,0.01698,0.977,0.972
